mol_name,mol_id,mol_wt,density,molarity,molar_vol,sasa,n_electrons,mol_class,smiles
ADAAMEH,ADAAM,692.19,0.895,1.293,773.39,1106.4942231474,390,extractant,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC
DBP,DMDBP,312.19,0.935,2.994,333.89,510.2162951511969,182,extractant,CCCCN(C)C(=O)C(C(=O)N(C)CCCC)CCCCC
DBTD,DMDBT,438.82,0.908,2.069,483.28,720.7921076563725,246,extractant,CCCCN(C)C(=O)C(C(=O)N(C)CCCC)CCCCCCCCCCCCCC
DOHE,DMDOH,482.88,0.927,1.919,520.91,793.5423191831859,270,extractant,CCCCCCCCN(C)C(=O)C(C(=O)N(C)CCCCCCCC)CCOCCCCCC
T2EHDGA,TEHDG,580.95,0.913,1.571,636.3,922.8012035841398,326,extractant,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC
TODGA,TODGA,580.95,0.904,1.556,642.64,952.3076910698036,326,extractant,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC
BUTANOL,BUTOL,74.123,0.81,10.928,91.51,146.51175574954402,42,modifier,CCCCO
ETHANOL,ETHOL,46.069,0.789,17.126,58.389,96.7592827355946,26,modifier,CCO
HEXANOL,HEXOL,102.177,0.814,7.967,125.525,200.55392053430015,58,modifier,CCCCCCO
METHANOL,METOL,32.042,0.792,24.718,40.457,70.55937266464791,18,modifier,CO
OCTANOL,OCTOL,130.231,0.824,6.327,158.047,245.72279226298372,74,modifier,CCCCCCCCO
PROPANOL,PRPOL,60.096,0.803,13.362,74.839,119.51896093452244,34,modifier,CCCO
H2O,TIP4P,18.015,0.998,55.398,18.051,41.46867038587046,10,solute,O
BENZENE,BENZE,78.114,0.876,11.214,89.171,125.9543449898754,42,solvent,c1ccccc1
CYCLOHEXANE,CYHEX,84.16,0.779,9.256,108.03,162.20784432144666,48,solvent,C1CCCCC1
DECANE,DECAN,142.28,0.725,5.095,196.24,279.59426750698134,82,solvent,CCCCCCCCCC
DODECANE,NDODE,170.33,0.75,4.403,227.1,335.4101838381401,98,solvent,CCCCCCCCCCCC
HEPTANE,HEPTA,100.2,0.68,6.786,147.35,213.77379455842348,58,solvent,CCCCCCC
HEXANE,HEXAN,86.18,0.655,7.6,131.57,182.20927417096817,50,solvent,CCCCCC
OCTANE,OCTAN,114.23,0.703,6.154,162.48,240.4674796124326,66,solvent,CCCCCCCC
TETRADECANE,TDECA,198.39,0.762,3.841,260.35,372.12184720554984,114,solvent,CCCCCCCCCCCCCC
TOLUENE,TOLUE,92.141,0.867,9.409,106.276,151.70792961944525,50,solvent,Cc1ccccc1
ACETONITRILE,ACENI,41.053,0.786,19.146,52.23,74.019,22,solvent,CC#N
THF,THF,72.107,0.888,12.315,81.202,126.365,40,solvent,C1CCOC1
PIPERADINE,PIPER,85.15,0.862,10.123,98.782,155.143,48,solvent,C1CCNCC1
PYRIDINE,PYRID,79.102,0.982,12.414,80.552,116.663,42,solvent,c1ccncc1
[BMIM][BF4],[BMIM][BF4],226.026,1.21,5.353,186.798,259.07975657841286,118,solvent,CCCCn1cc[n+](C)c1.[B-](F)(F)(F)(F)
[BMIM][CL],[BMIM][CL],174.675,1.086,6.217,160.843,265.9898993952725,94,solvent,CCCCn1cc[n+](C)c1.[Cl-]
[BMIM][NO3],[BMIM][NO3],201.226,1.159,5.76,173.62,248.41920602186775,108,solvent,CCCCn1cc[n+](C)c1.[N+](=O)([O-])[O-]
[BMIM][PF6],[BMIM][PF6],284.184,1.37,4.821,207.434,242.17997151922185,146,solvent,CCCCn1cc[n+](C)c1.[P-](F)(F)(F)(F)(F)(F)
[BMIM][TFSI],BMIM_TFSI,419.369,1.44,3.434,291.228,275.71117690061834,214,solvent,CCCCn1cc[n+](C)c1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
[BMPIP][TFSI],[BMPIP][TFSI],421.405,1.378,3.27,305.809,285.90046294982983,217,solvent,CCCC[N+]1CCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
[BMPYR][TFSI],[BMPYR][TFSI],422.413,1.39,3.291,303.894,306.32688565776937,218,solvent,CCCC[N+]1(C)CCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
[BPY][TFSI],[BPY][TFSI],416.365,1.454,3.491,286.437,260.60564250448914,212,solvent,CCCC[n+]1(ccccc1).FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
[EBPIP][TFSI],[EBPIP][TFSI],433.396,1.263,2.914,343.148,289.93546659583734,222,solvent,CCCCn1cc[n+](CC)c1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
[EMIM][BF4],[EMIM][BF4],197.972,1.294,6.536,152.992,254.76642946958077,102,solvent,CCn1cc[n+](C)c1.[B-](F)(F)(F)(F)
[EMIM][CL],[EMIM][CL],146.621,1.341,9.146,109.337,214.87165242437948,78,solvent,CCn1cc[n+](C)c1.[Cl-]
[EMIM][NO3],[EMIM][NO3],173.172,1.208,6.976,143.354,235.6829869186023,92,solvent,CCn1cc[n+](C)c1.[N+](=O)([O-])[O-]
[EMIM][PF6],[EMIM][PF6],256.13,1.38,5.388,185.601,189.95991232587895,130,solvent,CCn1cc[n+](C)c1.[P-](F)(F)(F)(F)(F)(F)
[EMIM][TFSI],EMIM_TFSI,391.315,1.52,3.884,257.444,224.52084564091336,198,solvent,CCn1cc[n+](C)c1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
[EMPIP][TFSI],[EMPIP][TFSI],393.351,1.45,3.686,271.277,230.14611051964056,201,solvent,CC[N+]1CCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
[EMPYR][TFSI],[EMPYR][TFSI],394.359,1.45,3.677,271.972,229.9055398774329,202,solvent,CC[N+]1(C)CCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
[EPY][TFSI],[EPY][TFSI],388.311,1.534,3.95,253.136,245.942210171102,196,solvent,CC[n+]1(ccccc1).FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
[HMIM][BF4],[HMIM][BF4],254.08,1.149,4.522,221.131,309.7314528981941,134,solvent,CCCCCCn1cc[n+](C)c1.[B-](F)(F)(F)(F)
[HMIM][CL],[HMIM][CL],202.729,1.034,5.1,196.063,292.1335255925387,110,solvent,CCCCCCn1cc[n+](C)c1.[Cl-]
[HMIM][NO3],[HMIM][NO3],229.28,1.12,4.885,204.714,279.19495320642733,124,solvent,CCCCCCn1cc[n+](C)c1.[N+](=O)([O-])[O-]
[HMIM][PF6],[HMIM][PF6],312.238,1.31,4.196,238.35,299.8306667155587,162,solvent,CCCCCCn1cc[n+](C)c1.[P-](F)(F)(F)(F)(F)(F)
[HMIM][TFSI],HMIM_TFSI,447.423,1.37,3.062,326.586,294.6877704633397,230,solvent,CCCCCCn1cc[n+](C)c1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
[HMPIP][TFSI],[HMPIP][TFSI],449.459,1.29,2.87,348.418,348.2933092694404,233,solvent,CCCCCC[N+]1CCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
[HMPYR][TFSI],[HMPYR][TFSI],450.467,1.33,2.952,338.697,317.2935954029174,234,solvent,CCCCCC[N+]1(C)CCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
[HPY][TFSI],[HPY][TFSI],444.419,1.386,3.119,320.649,318.20576917492554,228,solvent,CCCCCC[n+]1(ccccc1).FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
[OMIM][BF4],[OMIM][BF4],282.134,1.107,3.924,254.864,320.5524070949804,150,solvent,CCCCCCCCn1cc[n+](C)c1.[B-](F)(F)(F)(F)
[OMIM][CL],[OMIM][CL],230.783,1.01,4.376,228.498,366.4713246295638,126,solvent,CCCCCCCCn1cc[n+](C)c1.[Cl-]
[OMIM][NO3],[OMIM][NO3],257.334,1.064,4.135,241.855,337.46247820191644,140,solvent,CCCCCCCCn1cc[n+](C)c1.[N+](=O)([O-])[O-]
[OMIM][PF6],[OMIM][PF6],340.292,1.23,3.615,276.66,336.0976750011305,178,solvent,CCCCCCCCn1cc[n+](C)c1.[P-](F)(F)(F)(F)(F)(F)
[OMIM][TFSI],OMIM_TFSI,475.477,1.32,2.776,360.21,390.73123167643223,246,solvent,CCCCCCCCn1cc[n+](C)c1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
[OMPIP][TFSI],[OMPIP][TFSI],477.513,1.21,2.534,394.639,355.4287263398037,249,solvent,CCCCCCCC[N+]1CCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
[OMPYR][TFSI],[OMPYR][TFSI],478.521,1.27,2.654,376.788,386.4676859971663,250,solvent,CCCCCCCC[N+]1(C)CCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
[OPY][TFSI],[OPY][TFSI],472.473,1.327,2.808,356.1,312.10217114942776,244,solvent,CCCCCCCC[n+]1(ccccc1).FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
